{Lowest point of X, Highest point of X}, {Lowest point of Z, highest point of Z}
{10623, 10633}, {9707, 9715}
{10599, 10610}, {9688, 9694}
{10616, 10630}, {9642, 9661}
{13215, 13674}, {4881, 5142}
{12424, 12954}, {4110, 4579}
{13410, 14172}, {3916, 4318}
{13646, 14096}, {6531, 6960}
{14072, 14481}, {5673, 6150}
{11276, 12504}, {9427, 10705}
{9524, 10677}, {11982, 13237}
{4112, 6547}, {11111, 13158}
{6519, 7376}, {6607, 7606}
{5285, 5908}, {9410, 9826}
{8355, 9578}, {8408, 9734}
{11896, 14457}, {2253, 3515}
{13482, 14095}, {1082, 1912}
{5079, 5777}, {5646, 6210}
{5079, 5777}, {5646, 6210}
{6569, 7780}, {10171, 10778}
{8977, 9376}, {7494, 7792}
{11275, 12043}, {7901, 9509}
{11605, 12785}, {11022, 12527}
{3891, 4836}, {9619, 10598}
